store_id,store_name,store_city,store_location,product_id,product_name,product_category,product_cost,product_price,has_inventory_record,stock_on_hand,units_30d,units_60d,units_90d,revenue_90d,gross_profit_90d,inventory_status,days_cover_90d,inventory_cost_value,inventory_retail_value
39,Maven Toys Xalapa 2,Xalapa,Downtown,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,69,110,143,856.57,286.0,Stockout with recent demand,0.0,0.0,0.0
4,Maven Toys Saltillo 1,Saltillo,Downtown,34,Toy Robot,Electronics,20.99,25.99,1,0,21,21,31,805.69,155.0,Stockout with recent demand,0.0,0.0,0.0
24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,28,Playfoam,Art & Crafts,3.99,10.99,1,0,57,72,72,791.28,504.0,Stockout with recent demand,0.0,0.0,0.0
50,Maven Toys Guanajuato 3,Guanajuato,Residential,12,Foam Disk Launcher,Sports & Outdoors,8.99,11.99,1,0,8,31,65,779.35,195.0,Stockout with recent demand,0.0,0.0,0.0
18,Maven Toys Merida 1,Merida,Downtown,28,Playfoam,Art & Crafts,3.99,10.99,1,0,61,67,67,736.33,469.0,Stockout with recent demand,0.0,0.0,0.0
39,Maven Toys Xalapa 2,Xalapa,Downtown,28,Playfoam,Art & Crafts,3.99,10.99,1,0,53,67,67,736.33,469.0,Stockout with recent demand,0.0,0.0,0.0
36,Maven Toys Morelia 1,Morelia,Downtown,4,Chutes & Ladders,Games,9.99,12.99,1,0,19,44,54,701.46,162.0,Stockout with recent demand,0.0,0.0,0.0
22,Maven Toys Guanajuato 2,Guanajuato,Commercial,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,38,99,115,688.85,230.0,Stockout with recent demand,0.0,0.0,0.0
32,Maven Toys Hermosillo 1,Hermosillo,Residential,21,Mini Ping Pong Set,Sports & Outdoors,6.99,9.99,1,0,44,59,68,679.32,204.0,Stockout with recent demand,0.0,0.0,0.0
19,Maven Toys Puebla 1,Puebla,Commercial,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,68,87,113,676.87,226.0,Stockout with recent demand,0.0,0.0,0.0
5,Maven Toys La Paz 1,La Paz,Downtown,12,Foam Disk Launcher,Sports & Outdoors,8.99,11.99,1,0,36,48,52,623.48,156.0,Stockout with recent demand,0.0,0.0,0.0
35,Maven Toys Chilpancingo 1,Chilpancingo,Downtown,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,62,73,102,610.98,204.0,Stockout with recent demand,0.0,0.0,0.0
3,Maven Toys Guadalajara 2,Guadalajara,Commercial,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,38,53,98,587.02,196.0,Stockout with recent demand,0.0,0.0,0.0
33,Maven Toys Monterrey 3,Monterrey,Airport,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,48,68,98,587.02,196.0,Stockout with recent demand,0.0,0.0,0.0
6,Maven Toys Mexicali 1,Mexicali,Commercial,1,Action Figure,Toys,9.99,15.99,1,0,10,21,32,511.68,192.0,Stockout with recent demand,0.0,0.0,0.0
37,Maven Toys Ciudad de Mexico 3,Cuidad de Mexico,Residential,32,Supersoaker Water Gun,Sports & Outdoors,11.99,14.99,1,0,25,28,34,509.66,102.0,Stockout with recent demand,0.0,0.0,0.0
44,Maven Toys Puebla 3,Puebla,Residential,33,Teddy Bear,Toys,10.99,12.99,1,0,7,18,39,506.61,78.0,Stockout with recent demand,0.0,0.0,0.0
25,Maven Toys Ciudad Victoria 1,Ciudad Victoria,Downtown,31,Splash Balls,Sports & Outdoors,7.99,8.99,1,0,27,35,56,503.44,56.0,Stockout with recent demand,0.0,0.0,0.0
22,Maven Toys Guanajuato 2,Guanajuato,Commercial,3,Barrel O' Slime,Art & Crafts,1.99,3.99,1,0,51,75,123,490.77,246.0,Stockout with recent demand,0.0,0.0,0.0
8,Maven Toys Pachuca 1,Pachuca,Downtown,14,Glass Marbles,Games,5.99,10.99,1,0,25,35,44,483.56,220.0,Stockout with recent demand,0.0,0.0,0.0
3,Maven Toys Guadalajara 2,Guadalajara,Commercial,29,Plush Pony,Toys,8.99,19.99,1,0,8,23,23,459.77,253.0,Stockout with recent demand,0.0,0.0,0.0
41,Maven Toys Hermosillo 2,Hermosillo,Downtown,4,Chutes & Ladders,Games,9.99,12.99,1,0,23,34,34,441.66,102.0,Stockout with recent demand,0.0,0.0,0.0
2,Maven Toys Monterrey 1,Monterrey,Residential,11,Etch A Sketch,Art & Crafts,10.99,20.99,1,0,2,19,20,419.8,200.0,Stockout with recent demand,0.0,0.0,0.0
28,Maven Toys Puebla 2,Puebla,Downtown,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,21,39,68,407.32,136.0,Stockout with recent demand,0.0,0.0,0.0
5,Maven Toys La Paz 1,La Paz,Downtown,28,Playfoam,Art & Crafts,3.99,10.99,1,0,26,34,34,373.66,238.0,Stockout with recent demand,0.0,0.0,0.0
37,Maven Toys Ciudad de Mexico 3,Cuidad de Mexico,Residential,23,Mr. Potatohead,Toys,4.99,9.99,1,0,16,16,37,369.63,185.0,Stockout with recent demand,0.0,0.0,0.0
5,Maven Toys La Paz 1,La Paz,Downtown,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,26,44,61,365.39,122.0,Stockout with recent demand,0.0,0.0,0.0
27,Maven Toys Oaxaca 1,Oaxaca,Downtown,11,Etch A Sketch,Art & Crafts,10.99,20.99,1,0,12,17,17,356.83,170.0,Stockout with recent demand,0.0,0.0,0.0
19,Maven Toys Puebla 1,Puebla,Commercial,11,Etch A Sketch,Art & Crafts,10.99,20.99,1,0,8,8,13,272.87,130.0,Stockout with recent demand,0.0,0.0,0.0
45,Maven Toys Ciudad de Mexico 4,Cuidad de Mexico,Commercial,28,Playfoam,Art & Crafts,3.99,10.99,1,0,8,24,24,263.76,168.0,Stockout with recent demand,0.0,0.0,0.0
24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,12,Foam Disk Launcher,Sports & Outdoors,8.99,11.99,1,0,10,11,21,251.79,63.0,Stockout with recent demand,0.0,0.0,0.0
1,Maven Toys Guadalajara 1,Guadalajara,Residential,5,Classic Dominoes,Games,7.99,9.99,1,0,25,25,25,249.75,50.0,Stockout with recent demand,0.0,0.0,0.0
24,Maven Toys Aguascalientes 1,Aguascalientes,Downtown,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,18,37,38,227.62,76.0,Stockout with recent demand,0.0,0.0,0.0
8,Maven Toys Pachuca 1,Pachuca,Downtown,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,18,28,36,215.64,72.0,Stockout with recent demand,0.0,0.0,0.0
13,Maven Toys Mexicali 2,Mexicali,Downtown,28,Playfoam,Art & Crafts,3.99,10.99,1,0,17,17,17,186.83,119.0,Stockout with recent demand,0.0,0.0,0.0
14,Maven Toys Guanajuato 1,Guanajuato,Downtown,15,Hot Wheels 5-Pack,Toys,3.99,5.99,1,0,17,25,29,173.71,58.0,Stockout with recent demand,0.0,0.0,0.0
38,Maven Toys Chihuahua 2,Chihuahua,Downtown,12,Foam Disk Launcher,Sports & Outdoors,8.99,11.99,1,0,7,14,14,167.86,42.0,Stockout with recent demand,0.0,0.0,0.0
19,Maven Toys Puebla 1,Puebla,Commercial,33,Teddy Bear,Toys,10.99,12.99,1,0,9,9,9,116.91,18.0,Stockout with recent demand,0.0,0.0,0.0
48,Maven Toys Saltillo 2,Saltillo,Commercial,33,Teddy Bear,Toys,10.99,12.99,1,0,7,7,7,90.93,14.0,Stockout with recent demand,0.0,0.0,0.0
42,Maven Toys Hermosillo 3,Hermosillo,Commercial,16,Jenga,Games,2.99,9.99,1,0,4,8,8,79.92,56.0,Stockout with recent demand,0.0,0.0,0.0
31,Maven Toys Ciudad de Mexico 2,Cuidad de Mexico,Airport,16,Jenga,Games,2.99,9.99,0,,0,0,40,399.6,280.0,Missing inventory record,,,
17,Maven Toys Toluca 1,Toluca,Downtown,16,Jenga,Games,2.99,9.99,0,,0,16,34,339.66,238.0,Missing inventory record,,,
47,Maven Toys Monterrey 4,Monterrey,Commercial,16,Jenga,Games,2.99,9.99,0,,0,0,31,309.69,217.0,Missing inventory record,,,
28,Maven Toys Puebla 2,Puebla,Downtown,16,Jenga,Games,2.99,9.99,0,,10,10,30,299.7,210.0,Missing inventory record,,,
2,Maven Toys Monterrey 1,Monterrey,Residential,16,Jenga,Games,2.99,9.99,0,,0,0,23,229.77,161.0,Missing inventory record,,,
3,Maven Toys Guadalajara 2,Guadalajara,Commercial,16,Jenga,Games,2.99,9.99,0,,0,13,23,229.77,161.0,Missing inventory record,,,
46,Maven Toys Guadalajara 4,Guadalajara,Downtown,16,Jenga,Games,2.99,9.99,0,,0,0,23,229.77,161.0,Missing inventory record,,,
21,Maven Toys Santiago 1,Santiago,Downtown,16,Jenga,Games,2.99,9.99,0,,0,5,21,209.79,147.0,Missing inventory record,,,
15,Maven Toys Tuxtla Gutierrez 1,Tuxtla Gutierrez,Downtown,16,Jenga,Games,2.99,9.99,0,,0,3,20,199.8,140.0,Missing inventory record,,,
39,Maven Toys Xalapa 2,Xalapa,Downtown,16,Jenga,Games,2.99,9.99,0,,0,17,17,169.83,119.0,Missing inventory record,,,
40,Maven Toys Toluca 2,Toluca,Commercial,16,Jenga,Games,2.99,9.99,0,,0,5,14,139.86,98.0,Missing inventory record,,,
5,Maven Toys La Paz 1,La Paz,Downtown,16,Jenga,Games,2.99,9.99,0,,0,0,13,129.87,91.0,Missing inventory record,,,
20,Maven Toys Zacatecas 1,Zacatecas,Downtown,16,Jenga,Games,2.99,9.99,0,,5,5,12,119.88,84.0,Missing inventory record,,,
25,Maven Toys Ciudad Victoria 1,Ciudad Victoria,Downtown,16,Jenga,Games,2.99,9.99,0,,0,4,11,109.89,77.0,Missing inventory record,,,
45,Maven Toys Ciudad de Mexico 4,Cuidad de Mexico,Commercial,16,Jenga,Games,2.99,9.99,0,,0,0,11,109.89,77.0,Missing inventory record,,,
13,Maven Toys Mexicali 2,Mexicali,Downtown,16,Jenga,Games,2.99,9.99,0,,0,0,10,99.9,70.0,Missing inventory record,,,
43,Maven Toys Durango 1,Durango,Downtown,16,Jenga,Games,2.99,9.99,0,,5,5,9,89.91,63.0,Missing inventory record,,,
11,Maven Toys Cuernavaca 1,Cuernavaca,Downtown,16,Jenga,Games,2.99,9.99,0,,8,8,8,79.92,56.0,Missing inventory record,,,
30,Maven Toys Guadalajara 3,Guadalajara,Airport,16,Jenga,Games,2.99,9.99,0,,0,0,7,69.93,49.0,Missing inventory record,,,
27,Maven Toys Oaxaca 1,Oaxaca,Downtown,16,Jenga,Games,2.99,9.99,0,,0,5,5,49.95,35.0,Missing inventory record,,,
29,Maven Toys Xalapa 1,Xalapa,Commercial,16,Jenga,Games,2.99,9.99,0,,0,0,4,39.96,28.0,Missing inventory record,,,
35,Maven Toys Chilpancingo 1,Chilpancingo,Downtown,16,Jenga,Games,2.99,9.99,0,,2,2,4,39.96,28.0,Missing inventory record,,,
14,Maven Toys Guanajuato 1,Guanajuato,Downtown,16,Jenga,Games,2.99,9.99,0,,0,1,1,9.99,7.0,Missing inventory record,,,
2,Maven Toys Monterrey 1,Monterrey,Residential,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
2,Maven Toys Monterrey 1,Monterrey,Residential,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0,0,Missing inventory record,,,
2,Maven Toys Monterrey 1,Monterrey,Residential,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0,0,Missing inventory record,,,
2,Maven Toys Monterrey 1,Monterrey,Residential,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
2,Maven Toys Monterrey 1,Monterrey,Residential,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0,0,Missing inventory record,,,
3,Maven Toys Guadalajara 2,Guadalajara,Commercial,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
3,Maven Toys Guadalajara 2,Guadalajara,Commercial,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0,0,Missing inventory record,,,
3,Maven Toys Guadalajara 2,Guadalajara,Commercial,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0,0,Missing inventory record,,,
3,Maven Toys Guadalajara 2,Guadalajara,Commercial,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
3,Maven Toys Guadalajara 2,Guadalajara,Commercial,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0,0,Missing inventory record,,,
5,Maven Toys La Paz 1,La Paz,Downtown,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
5,Maven Toys La Paz 1,La Paz,Downtown,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0.0,0.0,Missing inventory record,,,
5,Maven Toys La Paz 1,La Paz,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0.0,0.0,Missing inventory record,,,
5,Maven Toys La Paz 1,La Paz,Downtown,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
5,Maven Toys La Paz 1,La Paz,Downtown,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0,0,Missing inventory record,,,
11,Maven Toys Cuernavaca 1,Cuernavaca,Downtown,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
11,Maven Toys Cuernavaca 1,Cuernavaca,Downtown,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0.0,0.0,Missing inventory record,,,
11,Maven Toys Cuernavaca 1,Cuernavaca,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0.0,0.0,Missing inventory record,,,
11,Maven Toys Cuernavaca 1,Cuernavaca,Downtown,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
11,Maven Toys Cuernavaca 1,Cuernavaca,Downtown,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0.0,0.0,Missing inventory record,,,
13,Maven Toys Mexicali 2,Mexicali,Downtown,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
13,Maven Toys Mexicali 2,Mexicali,Downtown,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0,0,Missing inventory record,,,
13,Maven Toys Mexicali 2,Mexicali,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0,0,Missing inventory record,,,
13,Maven Toys Mexicali 2,Mexicali,Downtown,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
13,Maven Toys Mexicali 2,Mexicali,Downtown,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0,0,Missing inventory record,,,
14,Maven Toys Guanajuato 1,Guanajuato,Downtown,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
14,Maven Toys Guanajuato 1,Guanajuato,Downtown,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0,0,Missing inventory record,,,
14,Maven Toys Guanajuato 1,Guanajuato,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0,0,Missing inventory record,,,
14,Maven Toys Guanajuato 1,Guanajuato,Downtown,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
14,Maven Toys Guanajuato 1,Guanajuato,Downtown,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0,0,Missing inventory record,,,
15,Maven Toys Tuxtla Gutierrez 1,Tuxtla Gutierrez,Downtown,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
15,Maven Toys Tuxtla Gutierrez 1,Tuxtla Gutierrez,Downtown,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0.0,0.0,Missing inventory record,,,
15,Maven Toys Tuxtla Gutierrez 1,Tuxtla Gutierrez,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0.0,0.0,Missing inventory record,,,
15,Maven Toys Tuxtla Gutierrez 1,Tuxtla Gutierrez,Downtown,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
15,Maven Toys Tuxtla Gutierrez 1,Tuxtla Gutierrez,Downtown,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0.0,0.0,Missing inventory record,,,
17,Maven Toys Toluca 1,Toluca,Downtown,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
17,Maven Toys Toluca 1,Toluca,Downtown,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0,0,Missing inventory record,,,
17,Maven Toys Toluca 1,Toluca,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0,0,Missing inventory record,,,
17,Maven Toys Toluca 1,Toluca,Downtown,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
17,Maven Toys Toluca 1,Toluca,Downtown,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0,0,Missing inventory record,,,
20,Maven Toys Zacatecas 1,Zacatecas,Downtown,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
20,Maven Toys Zacatecas 1,Zacatecas,Downtown,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0,0,Missing inventory record,,,
20,Maven Toys Zacatecas 1,Zacatecas,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0,0,Missing inventory record,,,
20,Maven Toys Zacatecas 1,Zacatecas,Downtown,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
20,Maven Toys Zacatecas 1,Zacatecas,Downtown,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0,0,Missing inventory record,,,
21,Maven Toys Santiago 1,Santiago,Downtown,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
21,Maven Toys Santiago 1,Santiago,Downtown,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0,0,Missing inventory record,,,
21,Maven Toys Santiago 1,Santiago,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0,0,Missing inventory record,,,
21,Maven Toys Santiago 1,Santiago,Downtown,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
21,Maven Toys Santiago 1,Santiago,Downtown,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0,0,Missing inventory record,,,
25,Maven Toys Ciudad Victoria 1,Ciudad Victoria,Downtown,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
25,Maven Toys Ciudad Victoria 1,Ciudad Victoria,Downtown,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0,0,Missing inventory record,,,
25,Maven Toys Ciudad Victoria 1,Ciudad Victoria,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0,0,Missing inventory record,,,
25,Maven Toys Ciudad Victoria 1,Ciudad Victoria,Downtown,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
25,Maven Toys Ciudad Victoria 1,Ciudad Victoria,Downtown,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0,0,Missing inventory record,,,
27,Maven Toys Oaxaca 1,Oaxaca,Downtown,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
27,Maven Toys Oaxaca 1,Oaxaca,Downtown,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0,0,Missing inventory record,,,
27,Maven Toys Oaxaca 1,Oaxaca,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,8.99,24.99,0,,0,0,0,0,0,Missing inventory record,,,
27,Maven Toys Oaxaca 1,Oaxaca,Downtown,22,Monopoly,Games,13.99,19.99,0,,0,0,0,0,0,Missing inventory record,,,
27,Maven Toys Oaxaca 1,Oaxaca,Downtown,35,Uno Card Game,Games,3.99,7.99,0,,0,0,0,0,0,Missing inventory record,,,
28,Maven Toys Puebla 2,Puebla,Downtown,4,Chutes & Ladders,Games,9.99,12.99,0,,0,0,0,0,0,Missing inventory record,,,
28,Maven Toys Puebla 2,Puebla,Downtown,5,Classic Dominoes,Games,7.99,9.99,0,,0,0,0,0,0,Missing inventory record,,,
