year_month,month_start,year,quarter,month_number,month_name,store_id,store_name,store_city,store_location,product_id,product_name,product_category,transactions,units_sold,revenue,cogs,gross_profit
2022-01,2022-01-15,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,5,Classic Dominoes,Games,9,9,89.91,71.91,18.0
2022-01,2022-01-01,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,6,Colorbuds,Electronics,154,331,4961.69,2313.69,2648.0
2022-01,2022-01-06,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,7,Dart Gun,Sports & Outdoors,30,51,815.49,611.49,204.0
2022-01,2022-01-01,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,8,Deck Of Cards,Games,116,145,1013.55,578.55,435.0
2022-01,2022-01-02,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,9,Dino Egg,Toys,35,39,428.61,389.61,39.0
2022-01,2022-01-28,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,14,Glass Marbles,Games,9,24,263.76,143.76,120.0
2022-01,2022-01-21,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,17,Kids Makeup Kit,Art & Crafts,3,3,59.97,41.97,18.0
2022-01,2022-01-08,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,18,Lego Bricks,Toys,43,43,1719.57,1504.57,215.0
2022-01,2022-01-19,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,21,Mini Ping Pong Set,Sports & Outdoors,2,2,19.98,13.98,6.0
2022-01,2022-01-06,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,24,Nerf Gun,Sports & Outdoors,27,27,539.73,404.73,135.0
2022-01,2022-01-01,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,25,PlayDoh Can,Art & Crafts,47,47,140.53,93.53,47.0
2022-01,2022-01-07,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,27,PlayDoh Toolkit,Art & Crafts,39,39,194.61,155.61,39.0
2022-01,2022-01-08,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,30,Rubik's Cube,Games,37,45,899.55,809.55,90.0
2022-01,2022-01-07,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,31,Splash Balls,Sports & Outdoors,14,14,125.86,111.86,14.0
2022-01,2022-01-09,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,33,Teddy Bear,Toys,18,18,233.82,197.82,36.0
2022-01,2022-01-07,2022,1,1,January,6,Maven Toys Mexicali 1,Mexicali,Commercial,34,Toy Robot,Electronics,24,33,857.67,692.67,165.0
2022-01,2022-01-02,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,1,Action Figure,Toys,59,59,943.41,589.41,354.0
2022-01,2022-01-13,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,2,Animal Figures,Toys,24,24,311.76,239.76,72.0
2022-01,2022-01-01,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,4,Chutes & Ladders,Games,3,3,38.97,29.97,9.0
2022-01,2022-01-03,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,5,Classic Dominoes,Games,19,19,189.81,151.81,38.0
2022-01,2022-01-06,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,6,Colorbuds,Electronics,158,336,5036.64,2348.64,2688.0
2022-01,2022-01-06,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,7,Dart Gun,Sports & Outdoors,49,58,927.42,695.42,232.0
2022-01,2022-01-01,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,8,Deck Of Cards,Games,95,101,705.99,402.99,303.0
2022-01,2022-01-01,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,9,Dino Egg,Toys,39,44,483.56,439.56,44.0
2022-01,2022-01-04,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,10,Dinosaur Figures,Toys,37,88,1319.12,967.12,352.0
2022-01,2022-01-29,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,14,Glass Marbles,Games,8,23,252.77,137.77,115.0
2022-01,2022-01-19,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,17,Kids Makeup Kit,Art & Crafts,10,10,199.9,139.9,60.0
2022-01,2022-01-22,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,18,Lego Bricks,Toys,19,19,759.81,664.81,95.0
2022-01,2022-01-06,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,7,7,174.93,62.93,112.0
2022-01,2022-01-08,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,21,Mini Ping Pong Set,Sports & Outdoors,13,13,129.87,90.87,39.0
2022-01,2022-01-14,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,22,Monopoly,Games,24,24,479.76,335.76,144.0
2022-01,2022-01-05,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,24,Nerf Gun,Sports & Outdoors,11,11,219.89,164.89,55.0
2022-01,2022-01-09,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,25,PlayDoh Can,Art & Crafts,37,37,110.63,73.63,37.0
2022-01,2022-01-14,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,27,PlayDoh Toolkit,Art & Crafts,17,17,84.83,67.83,17.0
2022-01,2022-01-03,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,30,Rubik's Cube,Games,50,50,999.5,899.5,100.0
2022-01,2022-01-01,2022,1,1,January,7,Maven Toys Monterrey 2,Monterrey,Downtown,31,Splash Balls,Sports & Outdoors,54,54,485.46,431.46,54.0
2022-01,2022-01-02,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,1,Action Figure,Toys,22,23,367.77,229.77,138.0
2022-01,2022-01-05,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,2,Animal Figures,Toys,44,52,675.48,519.48,156.0
2022-01,2022-01-15,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,3,Barrel O' Slime,Art & Crafts,10,10,39.9,19.9,20.0
2022-01,2022-01-05,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,4,Chutes & Ladders,Games,13,13,168.87,129.87,39.0
2022-01,2022-01-05,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,5,Classic Dominoes,Games,10,10,99.9,79.9,20.0
2022-01,2022-01-02,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,6,Colorbuds,Electronics,53,53,794.47,370.47,424.0
2022-01,2022-01-06,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,7,Dart Gun,Sports & Outdoors,15,15,239.85,179.85,60.0
2022-01,2022-01-01,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,8,Deck Of Cards,Games,72,112,782.88,446.88,336.0
2022-01,2022-01-11,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,9,Dino Egg,Toys,56,56,615.44,559.44,56.0
2022-01,2022-01-02,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,14,Glass Marbles,Games,20,81,890.19,485.19,405.0
2022-01,2022-01-07,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,17,Kids Makeup Kit,Art & Crafts,45,45,899.55,629.55,270.0
2022-01,2022-01-09,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,18,Lego Bricks,Toys,34,43,1719.57,1504.57,215.0
2022-01,2022-01-01,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,20,Mini Basketball Hoop,Sports & Outdoors,8,8,199.92,71.92,128.0
2022-01,2022-01-03,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,21,Mini Ping Pong Set,Sports & Outdoors,10,30,299.7,209.7,90.0
2022-01,2022-01-07,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,24,Nerf Gun,Sports & Outdoors,8,8,159.92,119.92,40.0
2022-01,2022-01-16,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,25,PlayDoh Can,Art & Crafts,5,5,14.95,9.95,5.0
2022-01,2022-01-08,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,27,PlayDoh Toolkit,Art & Crafts,16,16,79.84,63.84,16.0
2022-01,2022-01-05,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,30,Rubik's Cube,Games,50,97,1939.03,1745.03,194.0
2022-01,2022-01-13,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,31,Splash Balls,Sports & Outdoors,29,29,260.71,231.71,29.0
2022-01,2022-01-06,2022,1,1,January,8,Maven Toys Pachuca 1,Pachuca,Downtown,34,Toy Robot,Electronics,49,49,1273.51,1028.51,245.0
2022-01,2022-01-01,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,1,Action Figure,Toys,144,177,2830.23,1768.23,1062.0
2022-01,2022-01-13,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,2,Animal Figures,Toys,41,50,649.5,499.5,150.0
2022-01,2022-01-02,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,6,Colorbuds,Electronics,113,146,2188.54,1020.54,1168.0
2022-01,2022-01-06,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,7,Dart Gun,Sports & Outdoors,69,137,2190.63,1642.63,548.0
2022-01,2022-01-01,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,8,Deck Of Cards,Games,121,135,943.65,538.65,405.0
2022-01,2022-01-05,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,9,Dino Egg,Toys,36,36,395.64,359.64,36.0
2022-01,2022-01-05,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,14,Glass Marbles,Games,38,77,846.23,461.23,385.0
2022-01,2022-01-29,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,17,Kids Makeup Kit,Art & Crafts,3,3,59.97,41.97,18.0
2022-01,2022-01-04,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,18,Lego Bricks,Toys,94,141,5638.59,4933.59,705.0
2022-01,2022-01-01,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,24,Nerf Gun,Sports & Outdoors,81,101,2018.99,1513.99,505.0
2022-01,2022-01-05,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,25,PlayDoh Can,Art & Crafts,86,115,343.85,228.85,115.0
2022-01,2022-01-01,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,27,PlayDoh Toolkit,Art & Crafts,110,110,548.9,438.9,110.0
2022-01,2022-01-04,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,30,Rubik's Cube,Games,57,77,1539.23,1385.23,154.0
2022-01,2022-01-05,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,31,Splash Balls,Sports & Outdoors,30,36,323.64,287.64,36.0
2022-01,2022-01-13,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,33,Teddy Bear,Toys,26,26,337.74,285.74,52.0
2022-01,2022-01-06,2022,1,1,January,9,Maven Toys Ciudad de Mexico 1,Cuidad de Mexico,Downtown,34,Toy Robot,Electronics,57,57,1481.43,1196.43,285.0
2022-01,2022-01-01,2022,1,1,January,10,Maven Toys Campeche 1,Campeche,Downtown,1,Action Figure,Toys,79,79,1263.21,789.21,474.0
2022-01,2022-01-26,2022,1,1,January,10,Maven Toys Campeche 1,Campeche,Downtown,2,Animal Figures,Toys,4,4,51.96,39.96,12.0
2022-01,2022-01-07,2022,1,1,January,10,Maven Toys Campeche 1,Campeche,Downtown,5,Classic Dominoes,Games,11,11,109.89,87.89,22.0
2022-01,2022-01-05,2022,1,1,January,10,Maven Toys Campeche 1,Campeche,Downtown,6,Colorbuds,Electronics,101,152,2278.48,1062.48,1216.0
2022-01,2022-01-05,2022,1,1,January,10,Maven Toys Campeche 1,Campeche,Downtown,7,Dart Gun,Sports & Outdoors,9,9,143.91,107.91,36.0
2022-01,2022-01-01,2022,1,1,January,10,Maven Toys Campeche 1,Campeche,Downtown,8,Deck Of Cards,Games,95,128,894.72,510.72,384.0
